"id","sex","education","income","internet","e_reader","number_of_books"
100736,"female","Some high school","Don't know","No","No","0"
100739,"female","Some high school","$20,000 - $30,000","No","No","6"
100744,"male","Technical school","$20,000 - $30,000","Yes","No","10"
100745,"female","Some college","< $10,000","No","No","0"
100747,"male","Post-graduate training","$150,000 +","Yes","Yes","18"
100749,"male","Some college","$50,000 - $75,000","Yes","No","4"
100750,"female","College graduate","Refused","No","Don't know","Don't Know"
100754,"female","Some college","$50,000 - $75,000","Yes","No","36"
100755,"female","College graduate","Don't know","Yes","No","50"
100759,"male","Some high school","Refused","No","No","0"
100763,"female","Some high school","Don't know","No","No","25"
100771,"male","Some college","Refused","Yes","No","97 or more"
100772,"female","College graduate","$30,000 - $40,000","Yes","No","25"
100773,"female","High school graduate","Don't know","No","No","3"
100774,"male","High school graduate","$10,000 - $20,000","No","No","0"
100778,"female","College graduate","$75,000 - $100,000","Yes","Don't know","1"
100779,"male","Post-graduate training","$20,000 - $30,000","No","No","50"
100781,"female","High school graduate","< $10,000","Yes","No","5"
100783,"male","High school graduate","$40,000 - $50,000","No","No","0"
100785,"female","College graduate","$40,000 - $50,000","Yes","No","1"
100787,"male","Some high school","Refused","Yes","No","2"
100793,"female","Some college","Refused","No","No","Don't Know"
100796,"female","High school graduate","< $10,000","No","No","0"
100797,"male","High school graduate","$50,000 - $75,000","Yes","No","3"
100798,"female","Post-graduate training","Refused","Yes","No","97 or more"
100804,"female","Some high school","Don't know","Yes","Yes","10"
100805,"male","College graduate","$20,000 - $30,000","Yes","No","97 or more"
100807,"female","High school graduate","$30,000 - $40,000","Yes","No","70"
100811,"female","Some college","$30,000 - $40,000","Yes","No","0"
100813,"male","Some college","$50,000 - $75,000","Yes","No","2"
100817,"female","Some college","$75,000 - $100,000","Yes","No","36"
100824,"female","Some high school","$10,000 - $20,000","Yes","No","0"
100829,"female","Post-graduate training","Refused","No","No","0"
100831,"female","Some college","$30,000 - $40,000","Yes","No","3"
100836,"female","College graduate","$100,000 - $150,000","Yes","No","18"
100838,"female","College graduate","Refused","Yes","No","3"
100840,"female","High school graduate","$75,000 - $100,000","Yes","Yes","25"
100843,"male","College graduate","$40,000 - $50,000","Yes","No","12"
100848,"female","High school graduate","< $10,000","No","No","1"
100858,"male","High school graduate","Refused","Yes","No","0"
100865,"female","High school graduate","Don't know","Yes","No","0"
100872,"female","High school graduate","Refused","No","No","0"
100873,"female","College graduate","$50,000 - $75,000","Yes","No","7"
100874,"male","Post-graduate training","$50,000 - $75,000","Yes","No","60"
100884,"male","High school graduate","$30,000 - $40,000","No","No","0"
100887,"female","College graduate","Refused","Yes","No","5"
100891,"male","High school graduate","< $10,000","Yes","No","1"
100892,"male","College graduate","$50,000 - $75,000","Yes","Yes","3"
100893,"female","Some college","Don't know","Yes","No","8"
100896,"female","Some college","$50,000 - $75,000","No","No","50"
100898,"female","Some high school","Don't know","Yes","Don't know","4"
100899,"female","Post-graduate training","$30,000 - $40,000","Yes","No","50"
100911,"female","Some college","$50,000 - $75,000","Yes","No","25"
100917,"female","Some college","Don't know","Yes","No","50"
100919,"female","College graduate","$40,000 - $50,000","Yes","No","5"
100920,"male","Post-graduate training","$75,000 - $100,000","No","No","12"
100921,"female","High school graduate","Refused","Yes","No","9"
100922,"female","Some college","Refused","No","No","Don't Know"
100923,"female","Some college","Refused","Yes","No","8"
100924,"female","8th grade or less","< $10,000","No","No","Don't Know"
100925,"male","Some high school","Don't know","Yes","No","20"
100927,"female","High school graduate","Don't know","No","No","4"
100929,"female","8th grade or less","< $10,000","No","No","0"
100941,"male","Some high school","Don't know","Yes","No","14"
100943,"male","Some high school","$30,000 - $40,000","No","No","3"
100946,"male","College graduate","Refused","Yes","No","2"
100951,"male","Some college","$10,000 - $20,000","Yes","No","8"
100952,"male","College graduate","$40,000 - $50,000","Yes","No","15"
100954,"male","Some college","$10,000 - $20,000","Yes","No","3"
100956,"male","College graduate","$10,000 - $20,000","No","No","5"
100957,"male","Some college","$100,000 - $150,000","Yes","No","10"
100972,"female","Some high school","$50,000 - $75,000","Yes","No","20"
100973,"male","College graduate","$50,000 - $75,000","Yes","Yes","30"
100980,"female","High school graduate","Refused","No","No","3"
100985,"male","College graduate","$75,000 - $100,000","No","No","3"
100990,"female","Some college","Refused","No","No","4"
100993,"female","Some high school","Don't know","Yes","No","Don't Know"
100995,"female","Some college","$10,000 - $20,000","No","No","30"
100997,"male","College graduate","$75,000 - $100,000","Yes","No","20"
101003,"male","Some high school","Refused","No","No","4"
101008,"female","High school graduate","$20,000 - $30,000","Yes","No","40"
101011,"female","Post-graduate training","$150,000 +","Yes","No","6"
101014,"male","College graduate","$40,000 - $50,000","Yes","No","30"
101017,"female","High school graduate","< $10,000","Yes","No","70"
101020,"female","Post-graduate training","$150,000 +","Yes","Yes","30"
101025,"female","Post-graduate training","$50,000 - $75,000","Yes","No","8"
101030,"male","College graduate","$100,000 - $150,000","Yes","No","3"
101031,"male","High school graduate","$10,000 - $20,000","Yes","No","0"
101032,"female","Post-graduate training","Refused","Yes","No","1"
101040,"male","College graduate","$100,000 - $150,000","Yes","No","8"
101041,"male","Post-graduate training","$75,000 - $100,000","Yes","No","25"
101045,"female","Some college","$10,000 - $20,000","Yes","No","Don't Know"
101049,"female","Post-graduate training","$50,000 - $75,000","Yes","No","50"
101051,"female","Some college","$50,000 - $75,000","Yes","No","96"
101052,"female","High school graduate","$10,000 - $20,000","No","No","24"
101053,"female","Post-graduate training","$30,000 - $40,000","Yes","No","12"
101057,"male","Some high school","$75,000 - $100,000","Yes","Yes","50"
101058,"male","High school graduate","$30,000 - $40,000","Yes","No","2"
101060,"female","College graduate","$75,000 - $100,000","Yes","No","4"
101065,"female","High school graduate","Refused","Yes","Yes","Refused"
101073,"male","College graduate","$30,000 - $40,000","Yes","No","0"
101079,"female","Some high school","$20,000 - $30,000","Yes","No","6"
101081,"female","Post-graduate training","Refused","Yes","No","20"
101086,"female","High school graduate","$30,000 - $40,000","Yes","No","15"
101091,"female","Some college","Don't know","No","No","Refused"
101097,"female","Some college","$20,000 - $30,000","Yes","No","0"
101098,"female","Post-graduate training","$150,000 +","Yes","No","15"
101104,"female","College graduate","$150,000 +","Yes","Yes","15"
101106,"female","Some high school","$50,000 - $75,000","No","No","3"
101107,"female","Some college","$50,000 - $75,000","Yes","No","50"
101114,"female","Some college","Refused","Yes","Yes","10"
101118,"female","Some college","Refused","Yes","No","48"
101122,"male","College graduate","$40,000 - $50,000","Yes","No","60"
101127,"male","College graduate","$150,000 +","Yes","Yes","15"
101135,"female","Post-graduate training","$100,000 - $150,000","Yes","Yes","17"
101138,"female","Post-graduate training","$40,000 - $50,000","Yes","No","20"
101143,"male","Some college","$40,000 - $50,000","Yes","No","2"
101147,"female","College graduate","$30,000 - $40,000","Yes","No","35"
101153,"female","High school graduate","Don't know","Yes","No","97 or more"
101155,"female","High school graduate","$75,000 - $100,000","Yes","No","20"
101158,"female","Post-graduate training","$50,000 - $75,000","Yes","Yes","30"
101162,"female","College graduate","Don't know","Yes","No","60"
101167,"male","College graduate","$40,000 - $50,000","Yes","No","14"
101168,"female","Some college","$10,000 - $20,000","Yes","No","3"
101169,"female","College graduate","Refused","Yes","No","5"
101175,"female","Some high school","$20,000 - $30,000","Yes","No","20"
101180,"female","Some college","Don't know","No","No","0"
101184,"female","Post-graduate training","$150,000 +","Yes","Yes","25"
101186,"male","College graduate","$150,000 +","Yes","Yes","5"
101188,"female","Some college","$20,000 - $30,000","Yes","No","2"
101196,"female","High school graduate","$50,000 - $75,000","Yes","No","6"
101202,"female","Some college","$150,000 +","Yes","Yes","5"
101203,"female","Post-graduate training","Refused","Yes","Yes","50"
101204,"male","High school graduate","$100,000 - $150,000","Yes","No","0"
101207,"female","Post-graduate training","$150,000 +","Yes","No","8"
101209,"female","Some college","$10,000 - $20,000","Yes","Yes","36"
101215,"male","College graduate","$30,000 - $40,000","Yes","No","25"
101218,"female","College graduate","$40,000 - $50,000","Yes","No","4"
101219,"male","College graduate","Refused","No","No","Refused"
101220,"female","Some college","$75,000 - $100,000","Yes","No","5"
101221,"male","College graduate","$150,000 +","Yes","No","15"
101224,"male","Post-graduate training","$50,000 - $75,000","Yes","No","14"
101226,"male","Some college","$40,000 - $50,000","Yes","No","4"
101227,"female","Some college","< $10,000","No","No","3"
101229,"male","Some college","$75,000 - $100,000","Yes","No","0"
101231,"male","College graduate","$40,000 - $50,000","Yes","No","5"
101233,"female","High school graduate","$10,000 - $20,000","No","No","5"
101237,"male","Some college","$30,000 - $40,000","Yes","No","10"
101241,"female","High school graduate","$30,000 - $40,000","No","No","0"
101242,"female","Some high school","Don't know","No","No","0"
101244,"male","Some college","$10,000 - $20,000","No","No","3"
101246,"female","High school graduate","$10,000 - $20,000","Yes","No","Don't Know"
101263,"female","Some college","$50,000 - $75,000","Yes","No","12"
101271,"male","High school graduate","$50,000 - $75,000","Yes","No","6"
101281,"male","High school graduate","$100,000 - $150,000","Yes","No","4"
101282,"female","College graduate","Refused","Yes","Yes","20"
101283,"male","College graduate","$75,000 - $100,000","Yes","No","1"
101291,"male","High school graduate","Don't know","No","No","0"
101295,"female","High school graduate","$100,000 - $150,000","Yes","No","4"
101315,"male","High school graduate","$30,000 - $40,000","Yes","No","0"
101318,"male","Post-graduate training","$100,000 - $150,000","Yes","No","25"
101320,"male","College graduate","$75,000 - $100,000","Yes","No","10"
101324,"female","High school graduate","Refused","Yes","No","5"
101331,"male","High school graduate","$20,000 - $30,000","Yes","No","4"
101332,"male","Post-graduate training","$75,000 - $100,000","Yes","Yes","15"
101334,"female","High school graduate","$30,000 - $40,000","Yes","No","12"
101335,"female","High school graduate","$75,000 - $100,000","Yes","No","6"
101336,"female","Some college","$10,000 - $20,000","No","No","97 or more"
101339,"female","Some college","$30,000 - $40,000","Yes","No","20"
101349,"male","Some high school","$20,000 - $30,000","No","No","12"
101353,"male","High school graduate","Refused","Yes","No","0"
101354,"female","High school graduate","$30,000 - $40,000","No","No","4"
101362,"female","Some college","$100,000 - $150,000","Yes","No","40"
101368,"male","College graduate","$50,000 - $75,000","Yes","No","6"
101370,"male","Some college","Refused","Yes","Don't know","Don't Know"
101374,"female","High school graduate","Refused","No","No","0"
101377,"female","Don't know","Refused","No","No","0"
101380,"male","Some college","$50,000 - $75,000","Yes","No","40"
101381,"female","Some college","$10,000 - $20,000","Yes","No","3"
101383,"male","Some high school","< $10,000","No","No","3"
101392,"male","Some college","$75,000 - $100,000","Yes","No","5"
101411,"male","Refused","Refused","Yes","No","4"
101414,"male","College graduate","$75,000 - $100,000","Yes","No","10"
101423,"male","Post-graduate training","$150,000 +","Yes","No","2"
101429,"female","High school graduate","Refused","Yes","No","3"
101430,"female","Post-graduate training","Don't know","Yes","No","97 or more"
101431,"female","Post-graduate training","$75,000 - $100,000","Yes","No","10"
101433,"male","Some college","$50,000 - $75,000","Yes","No","Don't Know"
101436,"male","Some college","$50,000 - $75,000","Yes","No","1"
101439,"female","Some college","$20,000 - $30,000","No","No","24"
101442,"female","High school graduate","$10,000 - $20,000","Yes","Yes","20"
101447,"female","Some college","$30,000 - $40,000","Yes","No","97 or more"
101457,"male","Post-graduate training","Refused","Yes","No","6"
101458,"female","College graduate","$30,000 - $40,000","Yes","No","12"
101465,"female","Some college","$30,000 - $40,000","Yes","No","5"
101469,"male","Some college","$20,000 - $30,000","Yes","No","5"
101481,"female","High school graduate","Refused","Yes","No","0"
101482,"male","High school graduate","$40,000 - $50,000","Yes","No","4"
101485,"female","Some high school","< $10,000","Yes","No","4"
101488,"male","Post-graduate training","Refused","Yes","No","15"
101493,"female","College graduate","$40,000 - $50,000","Yes","No","30"
101497,"male","Don't know","< $10,000","No","No","Refused"
101503,"female","High school graduate","$40,000 - $50,000","Yes","No","20"
101508,"female","Some college","$50,000 - $75,000","Yes","No","84"
101512,"female","College graduate","$40,000 - $50,000","Yes","No","12"
101513,"female","Some college","$30,000 - $40,000","Yes","No","0"
101514,"female","Some high school","$10,000 - $20,000","No","No","0"
101519,"male","High school graduate","$20,000 - $30,000","Yes","No","10"
101520,"female","High school graduate","Don't know","No","No","3"
101521,"female","High school graduate","Refused","Yes","No","0"
101523,"female","High school graduate","$40,000 - $50,000","Yes","No","50"
101530,"female","College graduate","$40,000 - $50,000","Yes","No","0"
101531,"male","College graduate","$75,000 - $100,000","No","No","0"
101533,"female","Some college","$10,000 - $20,000","No","No","20"
101536,"male","Some college","$30,000 - $40,000","No","No","5"
101541,"female","Some college","$75,000 - $100,000","Yes","No","7"
101542,"male","High school graduate","$50,000 - $75,000","Yes","No","8"
101543,"female","Post-graduate training","Refused","Yes","No","25"
101544,"female","Some college","$10,000 - $20,000","Yes","No","Don't Know"
101546,"male","Some college","$50,000 - $75,000","Yes","No","2"
101547,"female","High school graduate","$50,000 - $75,000","No","No","1"
101552,"female","Some high school","Refused","Yes","No","0"
101553,"female","High school graduate","$40,000 - $50,000","Yes","No","5"
101560,"female","Some high school","$20,000 - $30,000","Yes","No","5"
101562,"male","High school graduate","$10,000 - $20,000","Yes","No","70"
101564,"male","Some high school","< $10,000","No","No","0"
101566,"female","Some high school","$10,000 - $20,000","No","No","1"
101571,"female","Some high school","Don't know","Yes","No","15"
101572,"female","College graduate","$40,000 - $50,000","No","No","Don't Know"
101575,"female","Some high school","$75,000 - $100,000","Yes","No","40"
101576,"female","Some college","$30,000 - $40,000","No","No","2"
101585,"female","College graduate","Refused","Yes","No","12"
101587,"male","Post-graduate training","Refused","Yes","No","2"
101591,"female","College graduate","$50,000 - $75,000","Yes","No","15"
101592,"male","Some college","$50,000 - $75,000","Yes","No","1"
101598,"female","Some high school","$100,000 - $150,000","Yes","No","97 or more"
101599,"female","Some college","$10,000 - $20,000","Yes","No","10"
101600,"female","Post-graduate training","$50,000 - $75,000","Yes","No","35"
101603,"female","College graduate","Refused","No","No","97 or more"
101606,"female","High school graduate","$20,000 - $30,000","No","No","3"
101607,"male","College graduate","Refused","Yes","No","0"
101612,"male","Some high school","< $10,000","Yes","No","4"
101615,"male","Post-graduate training","$100,000 - $150,000","Yes","No","97 or more"
101618,"female","High school graduate","< $10,000","No","No","Don't Know"
101620,"female","Some college","Refused","No","No","0"
101626,"female","College graduate","$40,000 - $50,000","Yes","No","10"
101640,"female","Post-graduate training","$40,000 - $50,000","Yes","No","20"
101645,"female","High school graduate","Refused","Yes","No","80"
101646,"female","Some high school","Refused","Yes","No","1"
101654,"male","Some high school","$10,000 - $20,000","No","No","0"
101656,"female","Some high school","$30,000 - $40,000","Yes","No","30"
101661,"male","Post-graduate training","$100,000 - $150,000","Yes","No","6"
101667,"female","College graduate","$50,000 - $75,000","Yes","Yes","7"
101669,"male","Post-graduate training","Refused","Yes","Yes","5"
101672,"male","High school graduate","$50,000 - $75,000","Yes","No","15"
101689,"male","Post-graduate training","Refused","Yes","No","20"
101693,"female","Refused","Refused","Yes","No","7"
101698,"male","Some high school","Don't know","Yes","Yes","10"
101703,"male","Some high school","$50,000 - $75,000","Yes","No","40"
101713,"female","Post-graduate training","$30,000 - $40,000","Yes","No","15"
101714,"male","Some college","$150,000 +","Yes","No","3"
101723,"male","Some high school","Don't know","Yes","No","3"
101727,"female","Post-graduate training","Refused","Yes","No","50"
101730,"female","Some college","Don't know","Yes","No","0"
101742,"female","Some college","$30,000 - $40,000","Yes","No","2"
101743,"male","Post-graduate training","$100,000 - $150,000","Yes","No","1"
101748,"female","High school graduate","Don't know","No","No","Don't Know"
101758,"female","College graduate","Refused","No","No","4"
101759,"male","High school graduate","$100,000 - $150,000","Yes","No","3"
101762,"female","High school graduate","Refused","Yes","Yes","4"
101763,"male","High school graduate","$20,000 - $30,000","No","No","8"
101764,"female","Some college","Refused","Yes","No","0"
101768,"female","Some college","Don't know","No","No","12"
101769,"female","Post-graduate training","$20,000 - $30,000","Yes","No","50"
101771,"female","College graduate","Refused","Yes","No","10"
101773,"female","College graduate","Refused","Yes","No","3"
101774,"male","College graduate","Refused","Yes","No","12"
101778,"male","High school graduate","Refused","Yes","No","Don't Know"
101781,"female","High school graduate","< $10,000","Yes","No","3"
101786,"female","College graduate","$40,000 - $50,000","Yes","No","5"
101790,"female","College graduate","$50,000 - $75,000","Yes","Yes","10"
101791,"male","Some college","$150,000 +","Yes","No","6"
101792,"female","High school graduate","Don't know","Yes","No","3"
101793,"female","Post-graduate training","$50,000 - $75,000","Yes","No","50"
101797,"female","Post-graduate training","$75,000 - $100,000","Yes","Yes","30"
101798,"female","Post-graduate training","$40,000 - $50,000","Yes","No","20"
101802,"female","Some college","Refused","No","No","10"
101812,"female","High school graduate","$50,000 - $75,000","Yes","Yes","24"
101823,"male","Some college","Refused","No","No","0"
101828,"female","High school graduate","$50,000 - $75,000","Yes","No","10"
101832,"male","Technical school","Refused","Yes","No","10"
101836,"female","High school graduate","$20,000 - $30,000","Yes","Yes","35"
