"Nombre" "Plataforma" "Fecha" "Genero" "VentasEEUU" "VentasEU" "VentasJP" "VentasOtros" "Ventas"
"1226" "Mario Golf: Toadstool Tour" "GC" "2003" "Sports" 1.09 0.15 0.25 0.04 1.53
"1232" "The Simpsons Skateboarding" "PS2" "2002" "Sports" 0.36 0.9 0 0.27 1.52
"1241" "Pac-Man World 2" "PS2" "2002" "Action" 1.26 0.05 0 0.21 1.51
"1283" "Major League Baseball 2K5" "PS2" "2005" "Sports" 0.72 0.56 0 0.19 1.48
"1285" "Tom Clancy's Splinter Cell: Pandora Tomorrow" "XB" "2004" "Action" 0.82 0.59 0 0.07 1.48
"1290" "Disney Princess" "GBA" "2003" "Platform" 1.04 0.37 0 0.06 1.47
"1299" "The SpongeBob SquarePants Movie" "GBA" "2004" "Platform" 1.02 0.38 0 0.06 1.46
"1309" "Mario Superstar Baseball" "GC" "2005" "Sports" 0.93 0.24 0.25 0.04 1.46
"1316" "Onimusha 3: Demon Siege" "PS2" "2004" "Action" 0.37 0.47 0.54 0.07 1.45
"1322" "Resident Evil: Outbreak" "PS2" "2003" "Action" 0.54 0.35 0.46 0.1 1.45
"1331" "Tony Hawk's American Wasteland (Weekly american sales)" "PS2" "2005" "Sports" 1.38 0.05 0 0.02 1.45
"1343" "Tiger Woods PGA Tour 2005" "PS2" "2004" "Sports" 1.03 0.32 0 0.09 1.44
"1345" "NCAA Football 2003" "PS2" "2002" "Sports" 1.16 0.08 0 0.19 1.44
"1352" "Classic NES Series: Super Mario Bros." "GBA" "2004" "Platform" 0 0 1.39 0.03 1.43
"1355" "Cabela's Big Game Hunter" "PS2" "2002" "Sports" 0.7 0.54 0 0.18 1.42
"1357" "NBA Live 06 (Weekly american sales)" "PS2" "2005" "Sports" 1.35 0.05 0 0.02 1.42
"1358" "The Legend of Zelda: The Minish Cap" "GBA" "2004" "Action" 0.89 0.22 0.22 0.1 1.42
"1359" "NFL Street" "PS2" "2004" "Sports" 1.15 0.08 0 0.19 1.42
"1364" "Resident Evil (Remake)" "GC" "2002" "Action" 0.63 0.38 0.35 0.05 1.42
"1370" "LEGO Star Wars: The Video Game" "GC" "2005" "Action" 1.09 0.28 0 0.04 1.41
"1381" "Spider-Man: The Movie" "XB" "2002" "Action" 1.07 0.28 0 0.05 1.4
"1385" "Sonic Advance 3" "GBA" "2004" "Platform" 0.74 0.52 0.08 0.06 1.4
"1389" "Madden NFL 2002" "PS" "2001" "Sports" 0.78 0.53 0 0.09 1.39
"1396" "Dynasty Warriors 5" "PS2" "2005" "Action" 0.24 0.18 0.91 0.06 1.39
"1400" "True Crime: Streets of LA" "XB" "2003" "Action" 0.96 0.37 0 0.05 1.38
"1411" "Dave Mirra Freestyle BMX 2" "PS2" "2001" "Sports" 0.67 0.53 0 0.18 1.38
"1425" "Crash Bandicoot 2: N-Tranced" "GBA" "2003" "Platform" 0.63 0.66 0 0.07 1.36
"1446" "Samurai Warriors" "PS2" "2004" "Action" 0.22 0.05 1.06 0.02 1.35
"1461" "Donkey Kong Jungle Beat" "GC" "2004" "Platform" 0.84 0.22 0.24 0.04 1.34
"1465" "MVP Baseball 2004" "PS2" "2004" "Sports" 1.1 0.06 0 0.18 1.34
"1467" "Ratchet & Clank: Up Your Arsenal (Weekly american sales)" "PS2" "2004" "Platform" 1.27 0.05 0 0.02 1.33
"1472" "Spider-Man: The Movie" "GBA" "2002" "Action" 0.92 0.35 0.01 0.05 1.33
"1492" "NFL 2K3" "PS2" "2002" "Sports" 1.06 0.08 0 0.18 1.32
"1506" "Madagascar" "PS2" "2005" "Platform" 0.78 0.45 0 0.07 1.31
"1530" "Resident Evil Zero" "GC" "2002" "Action" 0.54 0.27 0.45 0.04 1.29
"1533" "Pirates of the Caribbean: The Curse of the Black Pearl" "GBA" "2003" "Platform" 0.93 0.34 0 0.02 1.29
"1548" "Manhunt" "PS2" "2003" "Action" 0.63 0.49 0 0.16 1.28
"1550" "Silent Hill 2" "PS2" "2001" "Action" 0.62 0.49 0 0.16 1.28
"1560" "Tony Hawk's Underground" "XB" "2003" "Sports" 0.85 0.37 0 0.05 1.27
"1566" "Sonic Adventure DX: Director's Cut" "GC" "2003" "Platform" 0.87 0.3 0.06 0.03 1.27
"1567" "Jet Li: Rise to Honor" "PS2" "2004" "Action" 0.62 0.48 0 0.16 1.27
"1577" "Championship Manager 03/04" "PC" "2003" "Sports" 0 1.15 0 0.11 1.26
"1595" "Lara Croft Tomb Raider: The Angel of Darkness" "PS2" "2003" "Action" 0.61 0.48 0 0.16 1.25
"1596" "Tom Clancy's Splinter Cell: Pandora Tomorrow" "PS2" "2004" "Action" 0.52 0.56 0 0.17 1.25
"1610" "Star Wars Episode III: Revenge of the Sith" "XB" "2005" "Action" 0.82 0.38 0 0.04 1.24
"1612" "Frogger: The Great Quest" "PS2" "2001" "Platform" 0.6 0.47 0 0.16 1.23
"1614" "Ninja Gaiden" "XB" "2004" "Action" 0.92 0.2 0.07 0.04 1.23
"1615" "Crash Bandicoot: The Wrath of Cortex" "XB" "2002" "Platform" 0.59 0.57 0 0.07 1.23
"1622" "SpongeBob SquarePants: Battle for Bikini Bottom" "GBA" "2003" "Platform" 0.88 0.33 0 0.02 1.23
"1625" "Donkey Kong Country 2" "GBA" "2004" "Platform" 0.79 0.27 0.12 0.04 1.23
"1635" "Mario Power Tennis" "GC" "2004" "Sports" 0.58 0.16 0.46 0.03 1.22
"1649" "NBA 2K2" "PS2" "2002" "Sports" 0.59 0.46 0.01 0.15 1.22
"1656" "Sly Cooper and the Thievius Raccoonus" "PS2" "2002" "Platform" 1.03 0.14 0 0.04 1.21
"1666" "World Soccer Winning Eleven 9 (JP & Others sales)" "PSP" "2005" "Sports" 0.01 0.88 0.31 0 1.2
"1667" "The Lord of the Rings: The Fellowship of the Ring" "PS2" "2002" "Action" 0.59 0.46 0 0.15 1.2
"1680" "Enter the Matrix" "XB" "2003" "Action" 0.72 0.43 0.01 0.04 1.2
"1681" "NHL 2002" "PS2" "2001" "Sports" 0.59 0.46 0 0.15 1.2
"1692" "SpongeBob SquarePants: Revenge of the Flying Dutchman" "GBA" "2002" "Platform" 0.92 0.23 0 0.04 1.19
"1700" "Spider-Man: The Movie" "GC" "2002" "Action" 0.86 0.27 0.01 0.04 1.19
"1712" "Tony Hawk's Pro Skater 2" "GBA" "2001" "Sports" 0.85 0.31 0 0.02 1.18
"1723" "Ty the Tasmanian Tiger" "PS2" "2002" "Platform" 0.57 0.45 0 0.15 1.17
"1731" "Cabela's Dangerous Hunts" "PS2" "2003" "Sports" 0.57 0.45 0 0.15 1.17
"1759" "LEGO Star Wars: The Video Game" "XB" "2005" "Action" 0.83 0.28 0 0.05 1.16
"1764" "Gauntlet: Dark Legacy" "PS2" "2001" "Action" 0.56 0.44 0 0.15 1.15
"1779" "Tak and the Power of Juju" "PS2" "2003" "Platform" 0.56 0.44 0 0.15 1.15
"1784" "Tenchu: Wrath of Heaven" "PS2" "2003" "Action" 0.44 0.34 0.25 0.11 1.14
"1785" "Shadow of the Colossus" "PS2" "2005" "Action" 0.78 0.03 0.2 0.13 1.14
"1796" "The Lord of the Rings: The Return of the King" "XB" "2003" "Action" 0.71 0.38 0 0.05 1.14
"1797" "LEGO Star Wars: The Video Game" "GBA" "2005" "Action" 0.82 0.3 0 0.02 1.14
"1831" "Spider-Man 2" "XB" "2004" "Action" 0.82 0.26 0 0.04 1.12
"1839" "Tom Clancy's Splinter Cell: Chaos Theory" "XB" "2005" "Action" 0.68 0.38 0 0.05 1.11
"1864" "NBA Live 2001" "PS2" "2001" "Sports" 0.52 0.4 0.04 0.13 1.1
"1882" "Madden NFL 2004" "XB" "2003" "Sports" 1.02 0.02 0 0.05 1.09
"1896" "SpongeBob SquarePants: Revenge of the Flying Dutchman" "PS2" "2002" "Platform" 0.53 0.41 0 0.14 1.08
"1899" "Fisherman's Bass Club" "PS2" "2002" "Sports" 0.53 0.41 0 0.14 1.08
"1914" "Disney's Lilo & Stitch" "GBA" "2002" "Platform" 0.77 0.29 0 0.02 1.08
"1928" "Super Princess Peach" "DS" "2005" "Platform" 0.72 0.06 0.21 0.07 1.07
"1933" "World Tour Soccer" "PSP" "2005" "Sports" 0.1 0.63 0 0.34 1.07
"1948" "NBA Street V3" "PS2" "2005" "Sports" 0.52 0.41 0 0.14 1.06
"1952" "Hulk" "PS2" "2003" "Action" 0.52 0.41 0 0.14 1.06
"1960" "Spider-Man 2" "GBA" "2004" "Action" 0.76 0.28 0 0.02 1.06
"1977" "NBA 2K3" "PS2" "2002" "Sports" 0.51 0.4 0 0.13 1.05
"1990" "MVP Baseball 2003" "PS2" "2003" "Sports" 0.51 0.4 0 0.13 1.04
"2019" "NCAA March Madness 2004" "PS2" "2003" "Sports" 0.5 0.39 0 0.13 1.03
"2031" "Shrek 2" "GC" "2004" "Platform" 0.73 0.26 0.01 0.03 1.02
"2040" "Harry Potter and the Prisoner of Azkaban" "PS2" "2004" "Action" 0.5 0.39 0 0.13 1.02
"2048" "Championship Manager 3" "PC" "2003" "Sports" 0 0.93 0 0.08 1.01
"2073" "Dynasty Warriors 3: Xtreme Legends" "PS2" "2002" "Action" 0.13 0.1 0.74 0.03 1
"2102" "Shadow The Hedgehog" "GC" "2005" "Platform" 0.76 0.2 0 0.03 0.99
"2121" "Grand Theft Auto: San Andreas" "PC" "2005" "Action" 0 0.92 0 0.05 0.98
"2131" "NCAA Football 06" "XB" "2005" "Sports" 0.73 0.21 0 0.03 0.97
"2138" "NHL 2004" "PS2" "2003" "Sports" 0.47 0.37 0 0.12 0.97
"2141" "FIFA Soccer 2005" "XB" "2004" "Sports" 0.33 0.6 0 0.04 0.97
"2167" "Shinobi" "PS2" "2002" "Platform" 0.36 0.28 0.22 0.09 0.96
"2173" "ESPN NBA 2K5" "XB" "2004" "Sports" 0.88 0.04 0 0.04 0.95
"2176" "Tom Clancy's Splinter Cell: Chaos Theory" "PS2" "2005" "Action" 0.36 0.45 0 0.14 0.95
"2177" "SpongeBob SquarePants: Battle for Bikini Bottom" "GC" "2003" "Platform" 0.74 0.19 0 0.03 0.95
"2199" "The SpongeBob SquarePants Movie" "GC" "2004" "Platform" 0.73 0.19 0 0.03 0.94
"2204" "Castlevania: Lament of Innocence" "PS2" "2003" "Action" 0.46 0.36 0 0.12 0.94
"2209" "MVP Baseball 2005" "XB" "2005" "Sports" 0.7 0.2 0 0.03 0.94
"2215" "Prince of Persia: The Sands of Time" "XB" "2003" "Action" 0.57 0.33 0 0.04 0.94
"2217" "Hot Shots Golf Fore!" "PS2" "2003" "Sports" 0.46 0.36 0 0.12 0.94
"2219" "NHL 2003" "PS2" "2002" "Sports" 0.46 0.36 0 0.12 0.93
"2224" "Tony Hawk's Pro Skater 4" "XB" "2002" "Sports" 0.59 0.3 0 0.04 0.93
"2237" "Teenage Mutant Ninja Turtles" "GBA" "2003" "Action" 0.67 0.25 0 0.02 0.93
"2245" "Teenage Mutant Ninja Turtles" "PS2" "2003" "Action" 0.45 0.35 0 0.12 0.92
"2276" "Street Hoops" "PS2" "2002" "Sports" 0.45 0.35 0 0.12 0.91
"2280" "Knockout Kings 2002" "PS2" "2002" "Sports" 0.45 0.35 0 0.12 0.91
"2295" "Tiger Woods PGA Tour 2002" "PS2" "2002" "Sports" 0.44 0.35 0 0.12 0.9
"2298" "MLB 2005" "PS2" "2004" "Sports" 0.44 0.35 0 0.12 0.9
"2308" "Sonic Heroes" "XB" "2003" "Platform" 0.41 0.43 0.01 0.05 0.9
"2322" "NBA Live 2005" "XB" "2004" "Sports" 0.81 0.05 0 0.04 0.9
"2323" "Harry Potter: Quidditch World Cup" "PS2" "2003" "Sports" 0.44 0.34 0 0.11 0.9
"2325" "Madagascar" "GBA" "2005" "Platform" 0.62 0.24 0 0.03 0.89
"2329" "Blitz: The League" "PS2" "2005" "Sports" 0.74 0.03 0 0.12 0.89
"2331" "Castlevania: Circle of the Moon" "GBA" "2001" "Platform" 0.6 0.22 0.05 0.02 0.89
"2333" "Tiger Woods PGA Tour 06" "PS2" "2005" "Sports" 0.74 0.03 0 0.12 0.89
"2338" "Finding Nemo" "GC" "2003" "Action" 0.69 0.18 0 0.02 0.89
"2342" "NFL 2K2" "PS2" "2001" "Sports" 0.44 0.34 0 0.11 0.89
"2364" "NBA 2K6" "PS2" "2005" "Action" 0.43 0.34 0 0.11 0.88
"2372" "ESPN NHL 2K5" "PS2" "2004" "Sports" 0.43 0.33 0 0.11 0.88
"2402" "Triple Play 2002" "PS2" "2002" "Sports" 0.43 0.33 0 0.11 0.87
"2426" "Dynasty Warriors 4: Xtreme Legends" "PS2" "2003" "Action" 0.17 0.13 0.51 0.04 0.86
"2437" "Tiger Woods PGA Tour 2005" "XB" "2004" "Sports" 0.64 0.18 0 0.03 0.85
"2454" "Spider-Man 2" "GC" "2004" "Action" 0.65 0.17 0 0.02 0.84
"2462" "The Incredibles" "GC" "2004" "Action" 0.65 0.17 0 0.02 0.84
"2469" "Rocket Power: Team Rocket Rescue" "PS" "2001" "Sports" 0.47 0.32 0 0.05 0.84
"2474" "ESPN College Hoops 2K5" "PS2" "2004" "Sports" 0.41 0.32 0 0.11 0.84
"2486" "Lizzie McGuire 2: Lizzie Diaries" "GBA" "2004" "Action" 0.6 0.22 0 0.01 0.83
"2495" "Sly 3: Honor Among Thieves" "PS2" "2005" "Platform" 0.69 0.03 0 0.11 0.83
"2507" "Tony Hawk's Underground 2 Remix" "PSP" "2005" "Sports" 0.46 0.21 0 0.15 0.82
"2508" "Tony Hawk's Pro Skater 3" "GC" "2001" "Sports" 0.64 0.17 0 0.02 0.82
"2516" "Amped: Freestyle Snowboarding" "XB" "2001" "Sports" 0.69 0.11 0 0.02 0.82
"2521" "Rocket Power: Beach Bandits" "PS2" "2002" "Platform" 0.4 0.31 0 0.1 0.82
"2541" "The Legend of Zelda: Four Swords Adventures" "GC" "2004" "Action" 0.63 0.16 0 0.02 0.81
"2566" "Yakuza" "PS2" "2005" "Action" 0.03 0.02 0.74 0.01 0.8
"2581" "Prince of Persia: Warrior Within" "XB" "2004" "Action" 0.48 0.28 0 0.04 0.8
"2624" "FIFA Soccer 2004" "XB" "2003" "Sports" 0.24 0.49 0 0.05 0.79
