Nombre,Plataforma,Fecha,Genero,VentasEEUU,VentasEU,VentasJP,VentasOtros,Ventas
The Getaway,PS2,2002,Action,1.23,1.77,0.05,0.49,3.54
LEGO Star Wars: The Video Game,PS2,2005,Action,1.98,1.14,0.01,0.41,3.53
Spider-Man 2,PS2,2004,Action,1.75,1.2,0.02,0.43,3.41
FIFA Soccer 2003,PS2,2002,Sports,0.46,2.28,0.05,0.61,3.4
Ratchet & Clank,PS2,2002,Platform,1.44,1.01,0.57,0.3,3.33
Star Wars Episode III: Revenge of the Sith,PS2,2005,Action,1.47,1.39,0.03,0.43,3.32
The Lord of the Rings: The Return of the King,PS2,2003,Action,1.5,1.28,0.05,0.46,3.28
True Crime: Streets of LA,PS2,2003,Action,1.89,1.05,0.02,0.31,3.27
Enter the Matrix,PS2,2003,Action,1.78,1.12,0.09,0.19,3.18
Sonic Rush,DS,2005,Platform,1.22,1.57,0.06,0.29,3.15
Madden NFL 2002,PS2,2001,Sports,2.5,0.16,0.01,0.42,3.08
Tom Clancy's Splinter Cell,XB,2002,Action,1.85,1.04,0.0,0.13,3.02
WWE SmackDown! Shut Your Mouth,PS2,2002,Sports,1.45,1.13,0.07,0.38,3.02
World Soccer Winning Eleven 6 International,PS2,2002,Sports,0.12,1.26,1.16,0.45,2.99
Devil May Cry,PS2,2001,Action,1.36,0.86,0.64,0.13,2.99
Sonic Heroes,PS2,2003,Platform,1.04,1.37,0.06,0.49,2.96
Hitman 2: Silent Assassin,PS2,2002,Action,1.36,1.15,0.04,0.41,2.96
Super Mario World 2: Yoshi's Island,GBA,2002,Platform,1.75,0.45,0.62,0.09,2.91
World Soccer Winning Eleven 7 International,PS2,2003,Sports,0.08,1.24,1.13,0.45,2.9
Hot Shots Golf 3,PS2,2001,Sports,0.99,0.32,1.38,0.2,2.89
Finding Nemo,GBA,2003,Action,1.59,1.05,0.04,0.14,2.82
NBA Street,PS2,2001,Sports,2.19,0.22,0.0,0.38,2.79
Jak II,PS2,2003,Platform,1.68,0.74,0.0,0.36,2.78
Ratchet & Clank: Going Commando,PS2,2003,Platform,1.44,0.83,0.26,0.25,2.78
The Legend of Zelda: A Link to the Past,GBA,2002,Action,1.75,0.52,0.33,0.1,2.7
Onimusha: Warlords,PS2,2001,Action,0.99,0.48,1.09,0.14,2.7
Tom Clancy's Splinter Cell,PS2,2003,Action,1.15,1.11,0.0,0.4,2.65
ESPN NFL 2K5,PS2,2004,Sports,2.15,0.12,0.0,0.36,2.62
Harry Potter and the Chamber of Secrets,PS2,2002,Action,0.9,1.22,0.04,0.44,2.61
NBA Live 2005,PS2,2004,Sports,2.03,0.21,0.0,0.35,2.59
Ratchet & Clank: Up Your Arsenal,PS2,2004,Platform,1.31,0.74,0.31,0.22,2.57
Sonic Adventure 2 Battle,GC,2001,Platform,1.7,0.59,0.21,0.07,2.56
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,XB,2003,Action,1.84,0.56,0.0,0.09,2.49
The Incredibles,PS2,2004,Action,0.96,1.08,0.04,0.3,2.37
Tony Hawk's Underground 2,PS2,2004,Sports,1.25,0.86,0.01,0.26,2.37
Resident Evil - Code: Veronica X,PS2,2001,Action,1.08,0.7,0.34,0.21,2.34
Kirby: Nightmare in Dream Land,GBA,2002,Platform,1.22,0.1,0.91,0.04,2.27
Wario Land 4,GBA,2001,Platform,0.9,0.73,0.54,0.09,2.26
Sonic Advance,GBA,2001,Platform,1.19,0.71,0.22,0.13,2.24
Spyro: Season of Ice,GBA,2001,Platform,1.29,0.83,0.0,0.11,2.23
Prince of Persia: The Sands of Time,PS2,2003,Action,0.88,1.03,0.0,0.31,2.22
Dynasty Warriors 4,PS2,2003,Action,0.63,0.21,1.13,0.13,2.11
Scooby-Doo! Night of 100 Frights,PS2,2002,Platform,1.17,0.72,0.0,0.22,2.1
Project Gotham Racing (JP weekly sales),XB,2002,Action,1.54,0.44,0.04,0.07,2.1
Devil May Cry 3: Dante's Awakening,PS2,2005,Action,0.99,0.63,0.29,0.19,2.09
Finding Nemo,PS2,2003,Action,1.26,0.6,0.05,0.18,2.09
The Incredibles,GBA,2004,Action,1.15,0.77,0.04,0.1,2.06
Peter Jackson's King Kong: The Official Game of the Movie,PS2,2005,Action,0.71,1.02,0.0,0.31,2.04
Donkey Kong Country,GBA,2003,Platform,1.2,0.48,0.29,0.07,2.04
NBA Live 2004,PS2,2003,Sports,1.57,0.18,0.0,0.27,2.03
Harry Potter and the Chamber of Secrets,GBA,2002,Action,1.21,0.64,0.05,0.09,1.99
Harry Potter and the Chamber of Secrets,PS,2002,Action,0.75,1.09,0.02,0.12,1.98
Spyro: Enter the Dragonfly,PS2,2002,Platform,0.74,0.95,0.0,0.28,1.97
Devil May Cry 2,PS2,2003,Action,0.71,0.58,0.51,0.17,1.97
Hot Shots Golf: Open Tee,PSP,2004,Sports,0.5,0.5,0.63,0.33,1.96
Grand Theft Auto: San Andreas,XB,2005,Action,1.26,0.61,0.0,0.09,1.95
NBA Street Vol. 2,PS2,2003,Sports,1.69,0.2,0.0,0.06,1.95
Dynasty Warriors 3,PS2,2001,Action,0.53,0.16,1.07,0.1,1.87
Madden NFL 06,XB,2005,Sports,1.75,0.03,0.0,0.08,1.86
Shrek 2,PS2,2004,Platform,1.12,0.69,0.03,0.02,1.86
NBA Live 2002,PS2,2001,Sports,0.91,0.71,0.0,0.24,1.86
Jak 3,PS2,2004,Platform,1.33,0.49,0.0,0.03,1.85
NCAA Football 06,PS2,2005,Sports,1.53,0.05,0.0,0.25,1.84
Sly 2: Band of Thieves,PS2,2004,Platform,0.88,0.69,0.0,0.23,1.81
Sonic Advance 2,GBA,2002,Platform,0.93,0.59,0.21,0.07,1.8
SpongeBob SquarePants: SuperSponge,PS,2001,Action,1.12,0.58,0.0,0.08,1.78
The Getaway: Black Monday,PS2,2004,Action,0.39,1.01,0.02,0.36,1.78
50 Cent: Bulletproof,PS2,2005,Action,0.85,0.76,0.0,0.16,1.77
The SpongeBob SquarePants Movie,PS2,2004,Platform,1.06,0.54,0.0,0.16,1.76
State of Emergency,PS2,2002,Action,0.86,0.67,0.0,0.22,1.76
Pro Evolution Soccer,PS2,2001,Sports,0.06,0.9,0.53,0.27,1.75
SSX Tricky,PS2,2001,Sports,0.85,0.66,0.0,0.22,1.73
Crash Bandicoot: The Huge Adventure,GBA,2002,Platform,0.95,0.7,0.0,0.08,1.73
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,PS2,2003,Action,0.85,0.66,0.0,0.22,1.72
Madden NFL 2005,XB,2004,Sports,1.61,0.03,0.0,0.08,1.72
Harry Potter and the Sorcerer's Stone,GBA,2001,Action,0.87,0.66,0.08,0.08,1.69
Resident Evil 4,GC,2005,Action,0.98,0.42,0.22,0.06,1.69
Metroid Fusion,GBA,2002,Action,1.18,0.27,0.17,0.06,1.68
SSX 3,PS2,2003,Sports,0.93,0.52,0.0,0.22,1.67
Tony Hawk's Pro Skater 3,PS,2001,Sports,1.09,0.49,0.02,0.07,1.67
NCAA Football 2004,PS2,2003,Sports,1.35,0.09,0.0,0.23,1.67
SpongeBob SquarePants: Battle for Bikini Bottom,PS2,2003,Platform,1.08,0.45,0.0,0.14,1.67
NBA Ballers,PS2,2004,Sports,0.81,0.63,0.0,0.21,1.66
NBA Live 2003,PS2,2002,Sports,1.25,0.15,0.03,0.22,1.66
Kirby & the Amazing Mirror,GBA,2004,Platform,0.8,0.05,0.76,0.03,1.64
Tiger Woods PGA Tour 2003,PS2,2002,Sports,0.8,0.63,0.0,0.21,1.64
NBA Live 06 (All region sales),PS2,2005,Sports,1.44,0.15,0.0,0.05,1.64
Prince of Persia: Warrior Within,PS2,2004,Action,0.54,0.88,0.0,0.22,1.64
ESPN NFL 2K5,XB,2004,Sports,1.54,0.02,0.0,0.07,1.63
Tiger Woods PGA Tour 2004,PS2,2003,Sports,1.18,0.34,0.0,0.1,1.63
NCAA Football 2005,PS2,2004,Sports,1.32,0.09,0.0,0.22,1.62
Tony Hawk's American Wasteland (Old all region sales),PS2,2005,Sports,0.8,0.63,0.01,0.19,1.62
NFL Street 2,PS2,2004,Sports,0.79,0.62,0.0,0.21,1.61
Super Mario Strikers,GC,2005,Sports,0.98,0.38,0.2,0.04,1.61
Dollar Dash,PS2,2005,Action,1.3,0.23,0.0,0.07,1.6
Sonic Heroes,GC,2003,Platform,1.05,0.44,0.06,0.04,1.6
ESPN NBA 2K5,PS2,2004,Sports,1.26,0.12,0.0,0.21,1.59
Spyro 2: Season of Flame,GBA,2002,Platform,0.85,0.65,0.0,0.08,1.58
NCAA Football 2002,PS2,2001,Sports,0.77,0.6,0.0,0.2,1.57
Spider-Man 2: Enter: Electro,PS,2001,Action,0.57,0.87,0.02,0.09,1.55
MVP Baseball 2005,PS2,2005,Sports,1.26,0.07,0.0,0.21,1.54
Mario Golf: Toadstool Tour,GC,2003,Sports,1.09,0.15,0.25,0.04,1.53
The Simpsons Skateboarding,PS2,2002,Sports,0.36,0.9,0.0,0.27,1.52
Pac-Man World 2,PS2,2002,Action,1.26,0.05,0.0,0.21,1.51
Major League Baseball 2K5,PS2,2005,Sports,0.72,0.56,0.0,0.19,1.48
Tom Clancy's Splinter Cell: Pandora Tomorrow,XB,2004,Action,0.82,0.59,0.0,0.07,1.48
Disney Princess,GBA,2003,Platform,1.04,0.37,0.0,0.06,1.47
The SpongeBob SquarePants Movie,GBA,2004,Platform,1.02,0.38,0.0,0.06,1.46
Mario Superstar Baseball,GC,2005,Sports,0.93,0.24,0.25,0.04,1.46
Onimusha 3: Demon Siege,PS2,2004,Action,0.37,0.47,0.54,0.07,1.45
Resident Evil: Outbreak,PS2,2003,Action,0.54,0.35,0.46,0.1,1.45
Tony Hawk's American Wasteland (Weekly american sales),PS2,2005,Sports,1.38,0.05,0.0,0.02,1.45
Tiger Woods PGA Tour 2005,PS2,2004,Sports,1.03,0.32,0.0,0.09,1.44
NCAA Football 2003,PS2,2002,Sports,1.16,0.08,0.0,0.19,1.44
Classic NES Series: Super Mario Bros.,GBA,2004,Platform,0.0,0.0,1.39,0.03,1.43
Cabela's Big Game Hunter,PS2,2002,Sports,0.7,0.54,0.0,0.18,1.42
NBA Live 06 (Weekly american sales),PS2,2005,Sports,1.35,0.05,0.0,0.02,1.42
The Legend of Zelda: The Minish Cap,GBA,2004,Action,0.89,0.22,0.22,0.1,1.42
NFL Street,PS2,2004,Sports,1.15,0.08,0.0,0.19,1.42
Resident Evil (Remake),GC,2002,Action,0.63,0.38,0.35,0.05,1.42
LEGO Star Wars: The Video Game,GC,2005,Action,1.09,0.28,0.0,0.04,1.41
Spider-Man: The Movie,XB,2002,Action,1.07,0.28,0.0,0.05,1.4
Sonic Advance 3,GBA,2004,Platform,0.74,0.52,0.08,0.06,1.4
Madden NFL 2002,PS,2001,Sports,0.78,0.53,0.0,0.09,1.39
Dynasty Warriors 5,PS2,2005,Action,0.24,0.18,0.91,0.06,1.39
True Crime: Streets of LA,XB,2003,Action,0.96,0.37,0.0,0.05,1.38
Dave Mirra Freestyle BMX 2,PS2,2001,Sports,0.67,0.53,0.0,0.18,1.38
Crash Bandicoot 2: N-Tranced,GBA,2003,Platform,0.63,0.66,0.0,0.07,1.36
Samurai Warriors,PS2,2004,Action,0.22,0.05,1.06,0.02,1.35
Donkey Kong Jungle Beat,GC,2004,Platform,0.84,0.22,0.24,0.04,1.34
MVP Baseball 2004,PS2,2004,Sports,1.1,0.06,0.0,0.18,1.34
Ratchet & Clank: Up Your Arsenal (Weekly american sales),PS2,2004,Platform,1.27,0.05,0.0,0.02,1.33
Spider-Man: The Movie,GBA,2002,Action,0.92,0.35,0.01,0.05,1.33
NFL 2K3,PS2,2002,Sports,1.06,0.08,0.0,0.18,1.32
Madagascar,PS2,2005,Platform,0.78,0.45,0.0,0.07,1.31
Resident Evil Zero,GC,2002,Action,0.54,0.27,0.45,0.04,1.29
Pirates of the Caribbean: The Curse of the Black Pearl,GBA,2003,Platform,0.93,0.34,0.0,0.02,1.29
Manhunt,PS2,2003,Action,0.63,0.49,0.0,0.16,1.28
Silent Hill 2,PS2,2001,Action,0.62,0.49,0.0,0.16,1.28
Tony Hawk's Underground,XB,2003,Sports,0.85,0.37,0.0,0.05,1.27
Sonic Adventure DX: Director's Cut,GC,2003,Platform,0.87,0.3,0.06,0.03,1.27
Jet Li: Rise to Honor,PS2,2004,Action,0.62,0.48,0.0,0.16,1.27
Championship Manager 03/04,PC,2003,Sports,0.0,1.15,0.0,0.11,1.26
Lara Croft Tomb Raider: The Angel of Darkness,PS2,2003,Action,0.61,0.48,0.0,0.16,1.25
Tom Clancy's Splinter Cell: Pandora Tomorrow,PS2,2004,Action,0.52,0.56,0.0,0.17,1.25
Star Wars Episode III: Revenge of the Sith,XB,2005,Action,0.82,0.38,0.0,0.04,1.24
Frogger: The Great Quest,PS2,2001,Platform,0.6,0.47,0.0,0.16,1.23
Ninja Gaiden,XB,2004,Action,0.92,0.2,0.07,0.04,1.23
Crash Bandicoot: The Wrath of Cortex,XB,2002,Platform,0.59,0.57,0.0,0.07,1.23
SpongeBob SquarePants: Battle for Bikini Bottom,GBA,2003,Platform,0.88,0.33,0.0,0.02,1.23
Donkey Kong Country 2,GBA,2004,Platform,0.79,0.27,0.12,0.04,1.23
Mario Power Tennis,GC,2004,Sports,0.58,0.16,0.46,0.03,1.22
NBA 2K2,PS2,2002,Sports,0.59,0.46,0.01,0.15,1.22
Sly Cooper and the Thievius Raccoonus,PS2,2002,Platform,1.03,0.14,0.0,0.04,1.21
World Soccer Winning Eleven 9 (JP & Others sales),PSP,2005,Sports,0.01,0.88,0.31,0.0,1.2
The Lord of the Rings: The Fellowship of the Ring,PS2,2002,Action,0.59,0.46,0.0,0.15,1.2
Enter the Matrix,XB,2003,Action,0.72,0.43,0.01,0.04,1.2
NHL 2002,PS2,2001,Sports,0.59,0.46,0.0,0.15,1.2
SpongeBob SquarePants: Revenge of the Flying Dutchman,GBA,2002,Platform,0.92,0.23,0.0,0.04,1.19
Spider-Man: The Movie,GC,2002,Action,0.86,0.27,0.01,0.04,1.19
Tony Hawk's Pro Skater 2,GBA,2001,Sports,0.85,0.31,0.0,0.02,1.18
Ty the Tasmanian Tiger,PS2,2002,Platform,0.57,0.45,0.0,0.15,1.17
Cabela's Dangerous Hunts,PS2,2003,Sports,0.57,0.45,0.0,0.15,1.17
LEGO Star Wars: The Video Game,XB,2005,Action,0.83,0.28,0.0,0.05,1.16
Gauntlet: Dark Legacy,PS2,2001,Action,0.56,0.44,0.0,0.15,1.15
Tak and the Power of Juju,PS2,2003,Platform,0.56,0.44,0.0,0.15,1.15
Tenchu: Wrath of Heaven,PS2,2003,Action,0.44,0.34,0.25,0.11,1.14
Shadow of the Colossus,PS2,2005,Action,0.78,0.03,0.2,0.13,1.14
The Lord of the Rings: The Return of the King,XB,2003,Action,0.71,0.38,0.0,0.05,1.14
LEGO Star Wars: The Video Game,GBA,2005,Action,0.82,0.3,0.0,0.02,1.14
Spider-Man 2,XB,2004,Action,0.82,0.26,0.0,0.04,1.12
Tom Clancy's Splinter Cell: Chaos Theory,XB,2005,Action,0.68,0.38,0.0,0.05,1.11
NBA Live 2001,PS2,2001,Sports,0.52,0.4,0.04,0.13,1.1
Madden NFL 2004,XB,2003,Sports,1.02,0.02,0.0,0.05,1.09
SpongeBob SquarePants: Revenge of the Flying Dutchman,PS2,2002,Platform,0.53,0.41,0.0,0.14,1.08
Fisherman's Bass Club,PS2,2002,Sports,0.53,0.41,0.0,0.14,1.08
Disney's Lilo & Stitch,GBA,2002,Platform,0.77,0.29,0.0,0.02,1.08
Super Princess Peach,DS,2005,Platform,0.72,0.06,0.21,0.07,1.07
World Tour Soccer,PSP,2005,Sports,0.1,0.63,0.0,0.34,1.07
NBA Street V3,PS2,2005,Sports,0.52,0.41,0.0,0.14,1.06
Hulk,PS2,2003,Action,0.52,0.41,0.0,0.14,1.06
Spider-Man 2,GBA,2004,Action,0.76,0.28,0.0,0.02,1.06
NBA 2K3,PS2,2002,Sports,0.51,0.4,0.0,0.13,1.05
MVP Baseball 2003,PS2,2003,Sports,0.51,0.4,0.0,0.13,1.04
NCAA March Madness 2004,PS2,2003,Sports,0.5,0.39,0.0,0.13,1.03
Shrek 2,GC,2004,Platform,0.73,0.26,0.01,0.03,1.02
Harry Potter and the Prisoner of Azkaban,PS2,2004,Action,0.5,0.39,0.0,0.13,1.02
Championship Manager 3,PC,2003,Sports,0.0,0.93,0.0,0.08,1.01
Dynasty Warriors 3: Xtreme Legends,PS2,2002,Action,0.13,0.1,0.74,0.03,1.0
Shadow The Hedgehog,GC,2005,Platform,0.76,0.2,0.0,0.03,0.99
Grand Theft Auto: San Andreas,PC,2005,Action,0.0,0.92,0.0,0.05,0.98
NCAA Football 06,XB,2005,Sports,0.73,0.21,0.0,0.03,0.97
NHL 2004,PS2,2003,Sports,0.47,0.37,0.0,0.12,0.97
FIFA Soccer 2005,XB,2004,Sports,0.33,0.6,0.0,0.04,0.97
Shinobi,PS2,2002,Platform,0.36,0.28,0.22,0.09,0.96
ESPN NBA 2K5,XB,2004,Sports,0.88,0.04,0.0,0.04,0.95
Tom Clancy's Splinter Cell: Chaos Theory,PS2,2005,Action,0.36,0.45,0.0,0.14,0.95
SpongeBob SquarePants: Battle for Bikini Bottom,GC,2003,Platform,0.74,0.19,0.0,0.03,0.95
The SpongeBob SquarePants Movie,GC,2004,Platform,0.73,0.19,0.0,0.03,0.94
Castlevania: Lament of Innocence,PS2,2003,Action,0.46,0.36,0.0,0.12,0.94
MVP Baseball 2005,XB,2005,Sports,0.7,0.2,0.0,0.03,0.94
Prince of Persia: The Sands of Time,XB,2003,Action,0.57,0.33,0.0,0.04,0.94
Hot Shots Golf Fore!,PS2,2003,Sports,0.46,0.36,0.0,0.12,0.94
NHL 2003,PS2,2002,Sports,0.46,0.36,0.0,0.12,0.93
Tony Hawk's Pro Skater 4,XB,2002,Sports,0.59,0.3,0.0,0.04,0.93
Teenage Mutant Ninja Turtles,GBA,2003,Action,0.67,0.25,0.0,0.02,0.93
Teenage Mutant Ninja Turtles,PS2,2003,Action,0.45,0.35,0.0,0.12,0.92
Street Hoops,PS2,2002,Sports,0.45,0.35,0.0,0.12,0.91
Knockout Kings 2002,PS2,2002,Sports,0.45,0.35,0.0,0.12,0.91
Tiger Woods PGA Tour 2002,PS2,2002,Sports,0.44,0.35,0.0,0.12,0.9
MLB 2005,PS2,2004,Sports,0.44,0.35,0.0,0.12,0.9
Sonic Heroes,XB,2003,Platform,0.41,0.43,0.01,0.05,0.9
NBA Live 2005,XB,2004,Sports,0.81,0.05,0.0,0.04,0.9
Harry Potter: Quidditch World Cup,PS2,2003,Sports,0.44,0.34,0.0,0.11,0.9
Madagascar,GBA,2005,Platform,0.62,0.24,0.0,0.03,0.89
Blitz: The League,PS2,2005,Sports,0.74,0.03,0.0,0.12,0.89
Castlevania: Circle of the Moon,GBA,2001,Platform,0.6,0.22,0.05,0.02,0.89
Tiger Woods PGA Tour 06,PS2,2005,Sports,0.74,0.03,0.0,0.12,0.89
Finding Nemo,GC,2003,Action,0.69,0.18,0.0,0.02,0.89
NFL 2K2,PS2,2001,Sports,0.44,0.34,0.0,0.11,0.89
NBA 2K6,PS2,2005,Action,0.43,0.34,0.0,0.11,0.88
ESPN NHL 2K5,PS2,2004,Sports,0.43,0.33,0.0,0.11,0.88
Triple Play 2002,PS2,2002,Sports,0.43,0.33,0.0,0.11,0.87
Dynasty Warriors 4: Xtreme Legends,PS2,2003,Action,0.17,0.13,0.51,0.04,0.86
Tiger Woods PGA Tour 2005,XB,2004,Sports,0.64,0.18,0.0,0.03,0.85
Spider-Man 2,GC,2004,Action,0.65,0.17,0.0,0.02,0.84
The Incredibles,GC,2004,Action,0.65,0.17,0.0,0.02,0.84
Rocket Power: Team Rocket Rescue,PS,2001,Sports,0.47,0.32,0.0,0.05,0.84
ESPN College Hoops 2K5,PS2,2004,Sports,0.41,0.32,0.0,0.11,0.84
Lizzie McGuire 2: Lizzie Diaries,GBA,2004,Action,0.6,0.22,0.0,0.01,0.83
Sly 3: Honor Among Thieves,PS2,2005,Platform,0.69,0.03,0.0,0.11,0.83
Tony Hawk's Underground 2 Remix,PSP,2005,Sports,0.46,0.21,0.0,0.15,0.82
Tony Hawk's Pro Skater 3,GC,2001,Sports,0.64,0.17,0.0,0.02,0.82
Amped: Freestyle Snowboarding,XB,2001,Sports,0.69,0.11,0.0,0.02,0.82
Rocket Power: Beach Bandits,PS2,2002,Platform,0.4,0.31,0.0,0.1,0.82
The Legend of Zelda: Four Swords Adventures,GC,2004,Action,0.63,0.16,0.0,0.02,0.81
Yakuza,PS2,2005,Action,0.03,0.02,0.74,0.01,0.8
Prince of Persia: Warrior Within,XB,2004,Action,0.48,0.28,0.0,0.04,0.8
FIFA Soccer 2004,XB,2003,Sports,0.24,0.49,0.0,0.05,0.79
Secret Agent Barbie: Royal Jewels Mission,GBA,2002,Platform,0.56,0.21,0.0,0.01,0.78
Conker's Bad Fur Day,N64,2001,Platform,0.53,0.22,0.0,0.02,0.77
Star Wars Episode II: Attack of the Clones,GBA,2002,Action,0.55,0.2,0.0,0.01,0.77
Twisted Metal: Head On,PSP,2005,Action,0.71,0.0,0.0,0.06,0.77
Maximo: Ghosts to Glory,PS2,2001,Platform,0.38,0.29,0.0,0.1,0.77
Donkey Kong Country 3,GBA,2005,Platform,0.45,0.17,0.14,0.01,0.77
All-Star Baseball 2003,PS2,2002,Sports,0.38,0.29,0.0,0.1,0.77
Cabela's Deer Hunt: 2004 Season,PS2,2003,Sports,0.37,0.29,0.0,0.1,0.76
Mercenaries: Playground of Destruction,PS2,2005,Action,0.64,0.02,0.0,0.1,0.76
Tony Hawk's Pro Skater 2,N64,2001,Sports,0.59,0.16,0.0,0.01,0.76
True Crime: New York City,PS2,2005,Action,0.57,0.02,0.07,0.09,0.76
Shark Tale,PS2,2004,Action,0.37,0.29,0.0,0.1,0.75
Madden NFL 06,PSP,2005,Sports,0.69,0.0,0.0,0.06,0.75
Tony Hawk's Underground 2,XB,2004,Sports,0.48,0.24,0.0,0.03,0.75
The Lord of the Rings: The Two Towers,GBA,2002,Action,0.53,0.2,0.0,0.01,0.74
Tiger Woods PGA Tour 2001,PS2,2001,Sports,0.36,0.28,0.0,0.09,0.74
Classic NES Series: Donkey Kong,GBA,2004,Platform,0.4,0.15,0.17,0.01,0.73
Kirby: Canvas Curse,DS,2005,Platform,0.37,0.0,0.32,0.04,0.73
Oddworld: Munch's Oddysee,XB,2001,Platform,0.54,0.16,0.0,0.03,0.73
Beyblade VForce: Ultimate Blader Jam,GBA,2003,Action,0.52,0.19,0.0,0.01,0.73
Shaun Palmer's Pro Snowboarder,PS2,2001,Sports,0.36,0.28,0.0,0.09,0.73
Star Wars Episode III: Revenge of the Sith,GBA,2005,Action,0.52,0.19,0.0,0.01,0.72
Ultimate Spider-Man,PS2,2005,Action,0.6,0.02,0.0,0.1,0.72
Kouchuu Ouja Mushi King,GBA,2005,Action,0.0,0.0,0.7,0.02,0.72
The Lord of the Rings: The Two Towers,XB,2002,Action,0.45,0.24,0.0,0.03,0.71
Madden NFL 2003,XB,2002,Sports,0.67,0.02,0.0,0.03,0.71
Silent Hill 3,PS2,2003,Action,0.35,0.27,0.0,0.09,0.71
Spyro: Enter the Dragonfly,GC,2002,Platform,0.55,0.14,0.0,0.02,0.71
Scooby-Doo 2: Monsters Unleashed,GBA,2004,Action,0.51,0.19,0.0,0.01,0.71
Power Rangers: Dino Thunder,PS2,2004,Action,0.35,0.27,0.0,0.09,0.71
Spider-Man 2,PSP,2005,Action,0.35,0.21,0.0,0.14,0.71
Tony Hawk's Underground,GC,2003,Sports,0.54,0.14,0.0,0.02,0.7
Star Wars: Obi-Wan,XB,2001,Action,0.52,0.16,0.0,0.02,0.7
Madden NFL 2005,GC,2004,Sports,0.54,0.14,0.0,0.02,0.7
F-14 Tomcat,GBA,2001,Action,0.5,0.19,0.0,0.01,0.7
Ape Escape: On the Loose,PSP,2005,Platform,0.52,0.01,0.12,0.05,0.7
Mafia,PS2,2004,Action,0.34,0.27,0.0,0.09,0.7
Disney's Chicken Little,GBA,2005,Platform,0.5,0.18,0.0,0.01,0.7
Mortal Kombat: Shaolin Monks,PS2,2005,Action,0.58,0.02,0.0,0.09,0.69
Harry Potter and the Chamber of Secrets,GC,2002,Action,0.53,0.14,0.0,0.02,0.69
The Lord of the Rings: The Return of the King,GC,2003,Action,0.53,0.14,0.0,0.02,0.69
Shark Tale,GBA,2004,Action,0.49,0.18,0.0,0.01,0.68
NBA Street Vol. 2,XB,2003,Sports,0.62,0.04,0.0,0.02,0.68
NCAA Football 2005,XB,2004,Sports,0.63,0.02,0.0,0.03,0.68
Prince of Persia: The Two Thrones,PS2,2005,Action,0.57,0.02,0.0,0.09,0.68
Mercenaries: Playground of Destruction,XB,2005,Action,0.54,0.11,0.0,0.03,0.68
